date,home_team,score,away_team
06-05-2023,Jeju United FC,2 - 1,Pohang Steelers
10-05-2023,Jeju United FC,2 - 0,Incheon United
14-05-2023,Suwon City FC,0 - 5,Jeju United FC
20-05-2023,FC Seoul,1 - 1,Jeju United FC
27-05-2023,Jeju United FC,2 - 1,Suwon Bluewings
03-06-2023,Jeju United FC,2 - 2,Gangwon FC
06-06-2023,Pohang Steelers,2 - 1,Jeju United FC
10-06-2023,Ulsan Hyundai FC,5 - 1,Jeju United FC
24-06-2023,Jeju United FC,1 - 1,Daejeon Citizen
01-07-2023,Jeonbuk Motors,2 - 0,Jeju United FC
07-07-2023,Jeju United FC,1 - 2,Daegu FC
11-07-2023,Jeju United FC,0 - 0,Gwangju FC
16-07-2023,Pohang Steelers,4 - 2,Jeju United FC
21-07-2023,Ulsan Hyundai FC,2 - 1,Jeju United FC
06-08-2023,Jeju United FC,1 - 1,Gangwon FC
12-08-2023,Jeju United FC,3 - 0,Suwon City FC
18-08-2023,Suwon Bluewings,1 - 0,Jeju United FC
26-08-2023,Daegu FC,1 - 0,Jeju United FC
03-09-2023,Jeju United FC,0 - 0,Jeonbuk Motors
16-09-2023,Incheon United,2 - 1,Jeju United FC
23-09-2023,Jeju United FC,1 - 3,FC Seoul
01-10-2023,Jeju United FC,1 - 2,Gwangju FC
08-10-2023,Daejeon Citizen,1 - 0,Jeju United FC
22-10-2023,Jeju United FC,2 - 0,Suwon Bluewings
28-10-2023,Gangwon FC,1 - 1,Jeju United FC
11-11-2023,Jeju United FC,0 - 0,FC Seoul
25-11-2023,Jeju United FC,0 - 2,Daejeon Citizen
02-12-2023,Suwon City FC,1 - 1,Jeju United FC
25-02-2023,Ulsan Hyundai FC,2 - 1,Jeonbuk Motors
05-03-2023,Jeonbuk Motors,1 - 1,Suwon Bluewings
12-03-2023,Jeonbuk Motors,2 - 0,Gwangju FC
19-03-2023,Daegu FC,2 - 0,Jeonbuk Motors
01-04-2023,Jeonbuk Motors,1 - 2,Pohang Steelers
09-04-2023,Jeonbuk Motors,2 - 0,Incheon United
15-04-2023,Suwon City FC,1 - 0,Jeonbuk Motors
23-04-2023,Jeju United FC,0 - 2,Jeonbuk Motors
26-04-2023,Jeonbuk Motors,1 - 2,Daejeon Citizen
29-04-2023,Jeonbuk Motors,0 - 1,Gangwon FC
05-05-2023,FC Seoul,1 - 1,Jeonbuk Motors
10-05-2023,Suwon Bluewings,0 - 3,Jeonbuk Motors
14-05-2023,Incheon United,0 - 0,Jeonbuk Motors
21-05-2023,Jeonbuk Motors,3 - 1,Suwon City FC
29-05-2023,Pohang Steelers,1 - 0,Jeonbuk Motors
03-06-2023,Jeonbuk Motors,2 - 0,Ulsan Hyundai FC
07-06-2023,Jeonbuk Motors,1 - 0,Daegu FC
11-06-2023,Gangwon FC,1 - 2,Jeonbuk Motors
24-06-2023,Gwangju FC,2 - 0,Jeonbuk Motors
01-07-2023,Jeonbuk Motors,2 - 0,Jeju United FC
08-07-2023,Jeonbuk Motors,2 - 1,FC Seoul
12-07-2023,Daejeon Citizen,2 - 2,Jeonbuk Motors
16-07-2023,Jeonbuk Motors,1 - 0,Suwon City FC
21-07-2023,Pohang Steelers,2 - 1,Jeonbuk Motors
06-08-2023,Jeonbuk Motors,2 - 0,Incheon United
12-08-2023,Jeonbuk Motors,1 - 1,Suwon Bluewings
19-08-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
25-08-2023,Jeonbuk Motors,1 - 1,Daejeon Citizen
03-09-2023,Jeju United FC,0 - 0,Jeonbuk Motors
16-09-2023,Jeonbuk Motors,1 - 3,Gangwon FC
24-09-2023,Gwangju FC,0 - 1,Jeonbuk Motors
30-09-2023,Jeonbuk Motors,1 - 3,Daegu FC
08-10-2023,FC Seoul,0 - 2,Jeonbuk Motors
21-10-2023,Daegu FC,1 - 2,Jeonbuk Motors
28-10-2023,Jeonbuk Motors,1 - 1,Pohang Steelers
12-11-2023,Incheon United,1 - 1,Jeonbuk Motors
25-11-2023,Jeonbuk Motors,2 - 0,Gwangju FC
03-12-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
